seed,variant,step,ego_x,ego_y,ego_theta,obs_x,obs_y,obs_mode,collision,missed_mode,clearance
200042,OT,62,20.7378,0.1798,0.2931,-0.0437,-2.0584,constant_velocity,0,1,20.9018
200042,OT,63,20.5881,0.1391,0.2389,-0.1721,-2.1657,constant_velocity,0,0,20.8878
200042,OT,64,20.4447,0.1021,0.2662,-0.3005,-2.2730,constant_velocity,0,0,20.8807
200042,OT,65,20.3320,0.0667,0.3462,-0.4290,-2.3803,turn_left,0,0,20.9047
200042,OT,66,20.2499,0.0335,0.4262,-0.5542,-2.4915,turn_left,0,0,20.9568
200042,OT,67,20.1932,0.0051,0.5062,-0.6761,-2.6064,turn_left,0,0,21.0320
200042,OT,68,20.1546,-0.0182,0.5862,-0.7944,-2.7250,turn_left,0,0,21.1232
200042,OT,69,20.1290,-0.0366,0.6662,-0.9091,-2.8470,constant_velocity,0,1,21.2250
200042,OT,70,20.1128,-0.0503,0.7462,-1.0238,-2.9691,constant_velocity,0,0,21.3372
200042,OT,71,20.1035,-0.0596,0.8262,-1.1386,-3.0913,constant_velocity,0,1,21.4573
200042,OT,72,20.0988,-0.0651,0.9062,-1.2536,-3.2136,constant_velocity,0,0,21.5833
200042,OT,73,20.0973,-0.0672,0.9862,-1.3687,-3.3359,constant_velocity,0,0,21.7134
200042,OT,74,20.0977,-0.0665,1.0662,-1.4839,-3.4580,constant_velocity,0,1,21.8464
200042,OT,75,20.0991,-0.0635,1.1462,-1.5992,-3.5800,constant_velocity,0,1,21.9814
200042,OT,76,20.1011,-0.0587,1.2262,-1.7144,-3.7021,constant_velocity,0,0,22.1176
200042,OT,77,20.1030,-0.0525,1.3062,-1.8296,-3.8241,constant_velocity,0,0,22.2545
200042,OT,78,20.1047,-0.0452,1.3862,-1.9447,-3.9463,turn_right,0,0,22.3919
200042,OT,79,20.1058,-0.0371,1.4662,-2.0636,-4.0649,turn_right,0,1,22.5323
200042,OT,80,20.1064,-0.0286,1.5462,-2.1859,-4.1800,turn_right,0,1,22.6756
200042,OT,81,20.1063,-0.0197,1.6262,-2.3117,-4.2915,turn_right,0,1,22.8213
200042,OT,82,20.1054,-0.0107,1.7062,-2.4408,-4.3991,turn_right,0,0,22.9693
200042,OT,83,20.1038,-0.0018,1.7862,-2.5730,-4.5029,turn_right,0,1,23.1192
200042,OT,84,20.1015,0.0069,1.8662,-2.7082,-4.6026,turn_right,0,1,23.2709
200042,OT,85,20.0986,0.0154,1.9462,-2.8463,-4.6983,turn_right,0,0,23.4241
