seed,W2-Euclidean,L1-Manhattan,Flat-NoGeom,Mean-Only,Directional
110773,0,0,0,0,0
110774,0,0,0,0,0
110775,0,0,0,0,0
110776,0,0,0,0,0
110777,0,0,0,0,0
110778,0,0,0,0,0
110779,0,0,0,0,0
110780,1,1,1,0,0
110781,0,0,0,0,0
110782,0,0,0,0,0
110783,0,0,0,0,0
110784,0,0,0,0,0
110785,0,0,1,0,0
110786,1,0,0,0,0
110787,0,0,0,0,0
110788,0,0,0,0,0
110789,0,0,0,0,0
110790,0,0,0,0,0
110791,0,0,0,0,0
110792,0,0,0,0,0
110793,0,0,0,0,0
110794,0,0,0,0,0
110795,0,0,0,0,0
110796,0,0,0,1,1
110797,0,0,0,0,0
110798,0,0,0,0,0
110799,0,0,0,0,0
110800,0,0,0,1,0
110801,0,0,0,0,0
110802,0,0,0,0,0
110803,0,0,0,0,0
110804,0,0,0,0,0
110805,0,0,0,0,0
110806,0,0,0,0,0
110807,0,0,0,0,1
110808,0,0,0,0,0
110809,0,0,0,0,0
110810,0,0,0,0,0
110811,0,0,0,0,0
110812,0,0,0,0,0
110813,0,0,0,0,0
110814,0,0,0,0,0
110815,0,0,0,0,0
110816,0,0,0,0,0
110817,0,0,0,0,0
110818,0,0,0,0,0
110819,0,0,0,0,0
110820,0,0,0,0,0
110821,0,0,0,0,0
110822,0,0,0,0,0
110823,0,0,0,0,0
110824,0,0,0,0,0
110825,0,1,0,0,0
110826,0,0,0,0,0
110827,0,0,0,0,0
110828,0,0,0,0,0
110829,0,0,0,0,0
110830,0,0,0,0,0
110831,0,0,0,0,0
110832,0,1,0,1,0
110833,0,0,0,0,0
110834,0,0,0,0,0
110835,0,0,0,0,0
110836,0,0,0,0,0
110837,0,0,0,0,0
110838,0,0,1,0,0
110839,1,0,0,0,0
110840,0,0,0,0,0
110841,0,0,0,0,0
110842,0,0,0,0,0
110843,0,0,0,0,0
110844,0,0,0,0,0
110845,0,0,0,0,0
110846,0,0,0,0,0
110847,0,0,0,0,0
110848,0,0,1,0,0
110849,0,0,0,0,0
110850,0,0,0,0,0
110851,0,0,0,0,0
110852,0,0,0,0,0
110853,0,0,0,0,0
110854,0,0,0,0,0
110855,1,1,0,0,0
110856,1,0,0,1,1
110857,0,0,0,0,0
110858,0,0,0,0,0
110859,0,0,0,0,0
110860,0,0,0,0,0
110861,1,0,0,0,1
110862,0,0,0,0,0
110863,0,0,0,0,0
110864,1,1,0,0,0
110865,0,0,0,0,0
110866,0,0,0,0,0
110867,0,0,0,0,0
110868,0,0,0,0,0
110869,0,1,0,0,0
110870,0,0,0,0,0
110871,0,0,0,0,0
110872,0,0,0,0,0
110873,0,0,0,0,0
110874,0,0,0,0,0
110875,0,0,0,0,0
110876,0,0,0,0,0
110877,0,0,0,0,0
110878,0,0,0,0,0
110879,0,0,0,0,0
110880,0,0,0,0,0
110881,0,0,0,0,0
110882,0,0,0,0,0
110883,0,0,0,0,0
110884,0,0,0,0,0
110885,0,0,0,0,0
110886,0,0,0,0,0
110887,0,0,0,1,0
110888,0,0,0,0,1
110889,0,1,1,1,0
110890,0,0,0,0,0
110891,0,0,0,0,0
110892,0,0,0,0,0
110893,0,0,0,0,0
110894,0,0,0,0,0
110895,0,0,0,0,0
110896,0,0,0,0,0
110897,0,0,1,0,0
110898,0,0,0,0,0
110899,0,0,0,0,0
110900,0,0,0,0,0
110901,0,0,0,0,0
110902,0,0,0,0,0
110903,1,0,1,0,0
110904,0,0,0,0,0
110905,0,0,0,0,0
110906,0,0,0,0,0
110907,0,0,0,0,0
110908,0,0,0,0,0
110909,0,0,0,0,0
110910,0,0,0,0,0
110911,0,0,0,0,0
110912,0,0,0,0,1
110913,0,0,0,0,0
110914,0,0,0,0,0
110915,0,0,0,0,0
110916,0,0,0,0,0
110917,0,0,0,1,0
110918,1,1,0,0,1
110919,0,1,0,0,0
110920,0,0,0,0,0
110921,0,0,0,0,0
110922,0,0,0,0,0
110923,0,0,0,0,0
110924,0,0,0,0,0
110925,0,0,0,0,0
110926,0,0,0,0,0
110927,0,0,1,0,0
110928,0,0,0,0,0
110929,0,0,0,0,0
110930,0,0,0,0,0
110931,0,0,0,0,1
110932,0,0,0,0,0
110933,0,0,0,0,0
110934,0,0,0,0,0
110935,0,0,0,0,0
110936,0,0,0,0,0
110937,0,0,0,0,0
110938,1,0,0,0,0
110939,0,0,0,0,0
110940,0,0,0,0,0
110941,0,0,0,0,1
110942,0,0,0,0,0
110943,0,0,0,0,0
110944,0,0,0,0,0
110945,0,0,0,0,0
110946,0,0,0,0,0
110947,0,0,0,0,0
110948,0,0,0,0,0
110949,0,0,0,0,0
110950,1,0,0,0,0
110951,0,0,0,0,0
110952,0,0,0,0,0
110953,0,0,0,0,0
110954,1,0,0,0,0
110955,0,0,0,0,0
110956,0,0,0,0,0
110957,0,0,0,0,0
110958,0,0,0,0,0
110959,0,0,0,0,0
110960,0,0,0,0,0
110961,0,0,0,0,0
110962,0,0,0,0,0
110963,0,0,0,0,0
110964,0,0,0,0,0
110965,0,0,0,0,0
110966,0,0,0,1,0
110967,0,0,0,0,0
110968,0,0,0,0,0
110969,0,0,0,0,0
110970,0,0,0,1,1
110971,0,0,0,0,0
110972,0,0,0,0,0
110973,0,0,0,0,0
110974,0,0,0,0,0
110975,0,0,0,0,0
110976,0,0,0,0,0
110977,0,0,0,0,0
110978,0,0,0,0,1
110979,0,0,0,0,0
110980,0,0,0,0,0
110981,0,0,0,0,0
110982,0,0,0,0,0
110983,0,0,0,0,0
110984,0,0,0,0,0
110985,1,0,0,1,0
110986,0,0,0,0,0
110987,0,0,0,0,0
110988,0,0,0,0,0
110989,0,0,0,1,0
110990,0,0,0,0,0
110991,0,0,0,0,0
110992,0,0,0,0,0
110993,0,0,0,0,0
110994,0,1,0,0,0
110995,0,0,0,0,1
110996,0,0,0,1,0
110997,0,0,0,0,0
110998,0,0,0,0,0
110999,0,0,0,0,0
