environment,variant,seed,collision,missed_mode_rate,progress,min_clearance,mean_solve_ms,p99_solve_ms
Straight,OT+SH,160083,0,0.1733,20.0717,1.1295,1.0919,4.1494
Straight,OT+SH,160084,0,0.2800,20.0713,1.0753,1.0402,3.5792
Straight,OT+SH,160085,0,0.1067,20.0718,1.0680,1.1942,5.2820
Straight,OT+SH,160086,0,0.1667,20.0678,1.0425,1.1400,5.9017
Straight,OT+SH,160087,0,0.1933,20.0717,1.0475,1.2205,5.8605
Straight,OT+SH,160088,0,0.2333,20.0712,1.0815,1.2655,6.3370
Straight,OT+SH,160089,0,0.1800,20.0712,1.0934,1.4126,6.5915
Straight,OT+SH,160090,0,0.2600,20.0704,1.0424,1.1109,5.5690
Straight,OT+SH,160091,1,0.2067,19.9564,0.1399,1.8986,7.6712
Straight,OT+SH,160092,0,0.1800,20.0680,1.0792,1.0831,4.1107
Straight,OT+SH,160093,0,0.1400,20.0665,1.0108,1.1446,5.3039
Straight,OT+SH,160094,0,0.2133,20.0716,1.0648,1.2294,3.9618
Straight,OT+SH,160095,0,0.0933,20.0712,1.0916,1.1229,3.7452
Straight,OT+SH,160096,0,0.1000,20.0718,1.0632,1.0753,3.5322
Straight,OT+SH,160097,0,0.2067,20.0719,1.0909,1.2750,6.0380
Straight,OT+SH,160098,0,0.1533,20.0720,1.0852,1.5775,11.9147
Straight,OT+SH,160099,0,0.2133,20.0717,1.0897,1.1018,4.3918
Narrow,Base,160000,0,0.1933,15.0583,1.0589,1.2008,4.3175
Narrow,Base,160001,0,0.3267,15.0659,1.0780,1.2515,4.5145
Narrow,Base,160002,0,0.4333,10.6063,1.9124,1.6600,6.3322
Narrow,Base,160003,0,0.3333,15.0687,1.0920,1.3647,5.4809
Narrow,Base,160004,0,0.2667,15.0558,1.0827,1.2973,5.4975
Narrow,Base,160005,0,0.2667,15.0616,1.1272,1.3427,5.3121
Narrow,Base,160006,0,0.2600,15.0646,0.9699,1.2704,5.1501
Narrow,Base,160007,0,0.1867,15.0675,1.1579,1.1071,3.7691
Narrow,Base,160008,1,0.3800,15.1034,0.1848,1.8175,9.1250
Narrow,Base,160009,0,0.2733,15.0510,1.0684,1.4735,5.6777
Narrow,Base,160010,0,0.4267,15.0713,1.0572,1.2381,4.3719
Narrow,Base,160011,0,0.2067,15.0579,1.1595,1.3211,4.4227
Narrow,Base,160012,0,0.3467,15.0519,1.1020,1.2840,5.1903
Narrow,Base,160013,0,0.3267,15.0697,1.1183,1.4964,5.5389
Narrow,Base,160014,0,0.2200,15.0620,1.0193,1.5994,6.3909
Narrow,Base,160015,0,0.3200,15.0493,1.1137,1.3056,4.5808
Narrow,Base,160016,0,0.2400,15.0586,1.1048,1.2043,7.0860
Narrow,Base,160017,0,0.2467,15.0594,1.1520,1.2952,9.0496
Narrow,Base,160018,0,0.1800,15.0590,0.9922,1.4041,5.5470
