num_scenarios,dimension,horizon,epsilon_effective,epsilon_required,beta
285,60,10,0.453370,0.050000,0.010000
290,60,10,0.445553,0.050000,0.010000
295,60,10,0.438001,0.050000,0.010000
300,60,10,0.430701,0.050000,0.010000
305,60,10,0.423640,0.050000,0.010000
310,60,10,0.416808,0.050000,0.010000
315,60,10,0.410192,0.050000,0.010000
320,60,10,0.403782,0.050000,0.010000
325,60,10,0.397570,0.050000,0.010000
330,60,10,0.391546,0.050000,0.010000
335,60,10,0.385703,0.050000,0.010000
340,60,10,0.380030,0.050000,0.010000
345,60,10,0.374523,0.050000,0.010000
350,60,10,0.369172,0.050000,0.010000
355,60,10,0.363973,0.050000,0.010000
360,60,10,0.358918,0.050000,0.010000
365,60,10,0.354001,0.050000,0.010000
370,60,10,0.349217,0.050000,0.010000
375,60,10,0.344561,0.050000,0.010000
380,60,10,0.340027,0.050000,0.010000
385,60,10,0.335611,0.050000,0.010000
390,60,10,0.331309,0.050000,0.010000
395,60,10,0.327115,0.050000,0.010000
400,60,10,0.323026,0.050000,0.010000
405,60,10,0.319038,0.050000,0.010000
410,60,10,0.315147,0.050000,0.010000
415,60,10,0.311350,0.050000,0.010000
420,60,10,0.307644,0.050000,0.010000
425,60,10,0.304024,0.050000,0.010000
430,60,10,0.300489,0.050000,0.010000
435,60,10,0.297035,0.050000,0.010000
440,60,10,0.293660,0.050000,0.010000
445,60,10,0.290360,0.050000,0.010000
450,60,10,0.287134,0.050000,0.010000
455,60,10,0.283979,0.050000,0.010000
460,60,10,0.280892,0.050000,0.010000
465,60,10,0.277872,0.050000,0.010000
470,60,10,0.274916,0.050000,0.010000
475,60,10,0.272022,0.050000,0.010000
480,60,10,0.269188,0.050000,0.010000
485,60,10,0.266413,0.050000,0.010000
490,60,10,0.263695,0.050000,0.010000
495,60,10,0.261031,0.050000,0.010000
500,60,10,0.258421,0.050000,0.010000
10,60,10,12.599146,0.050000,0.050000
15,60,10,8.399431,0.050000,0.050000
20,60,10,6.299573,0.050000,0.050000
25,60,10,5.039659,0.050000,0.050000
30,60,10,4.199715,0.050000,0.050000
35,60,10,3.599756,0.050000,0.050000
40,60,10,3.149787,0.050000,0.050000
45,60,10,2.799810,0.050000,0.050000
50,60,10,2.519829,0.050000,0.050000
55,60,10,2.290754,0.050000,0.050000
60,60,10,2.099858,0.050000,0.050000
65,60,10,1.938330,0.050000,0.050000
70,60,10,1.799878,0.050000,0.050000
75,60,10,1.679886,0.050000,0.050000
80,60,10,1.574893,0.050000,0.050000
85,60,10,1.482253,0.050000,0.050000
90,60,10,1.399905,0.050000,0.050000
95,60,10,1.326226,0.050000,0.050000
100,60,10,1.259915,0.050000,0.050000
105,60,10,1.199919,0.050000,0.050000
110,60,10,1.145377,0.050000,0.050000
115,60,10,1.095578,0.050000,0.050000
120,60,10,1.049929,0.050000,0.050000
125,60,10,1.007932,0.050000,0.050000
130,60,10,0.969165,0.050000,0.050000
135,60,10,0.933270,0.050000,0.050000
140,60,10,0.899939,0.050000,0.050000
145,60,10,0.868907,0.050000,0.050000
150,60,10,0.839943,0.050000,0.050000
155,60,10,0.812848,0.050000,0.050000
160,60,10,0.787447,0.050000,0.050000
165,60,10,0.763585,0.050000,0.050000
170,60,10,0.741126,0.050000,0.050000
175,60,10,0.719951,0.050000,0.050000
180,60,10,0.699953,0.050000,0.050000
185,60,10,0.681035,0.050000,0.050000
190,60,10,0.663113,0.050000,0.050000
195,60,10,0.646110,0.050000,0.050000
200,60,10,0.629957,0.050000,0.050000
205,60,10,0.614593,0.050000,0.050000
210,60,10,0.599959,0.050000,0.050000
215,60,10,0.586007,0.050000,0.050000
220,60,10,0.572688,0.050000,0.050000
225,60,10,0.559962,0.050000,0.050000
230,60,10,0.547789,0.050000,0.050000
235,60,10,0.536134,0.050000,0.050000
240,60,10,0.524964,0.050000,0.050000
245,60,10,0.514251,0.050000,0.050000
250,60,10,0.503966,0.050000,0.050000
255,60,10,0.494084,0.050000,0.050000
260,60,10,0.484583,0.050000,0.050000
265,60,10,0.475439,0.050000,0.050000
270,60,10,0.466635,0.050000,0.050000
275,60,10,0.458151,0.050000,0.050000
280,60,10,0.449970,0.050000,0.050000
285,60,10,0.442075,0.050000,0.050000
290,60,10,0.434453,0.050000,0.050000
295,60,10,0.427090,0.050000,0.050000
300,60,10,0.419972,0.050000,0.050000
305,60,10,0.413087,0.050000,0.050000
310,60,10,0.406424,0.050000,0.050000
315,60,10,0.399973,0.050000,0.050000
320,60,10,0.393723,0.050000,0.050000
325,60,10,0.387666,0.050000,0.050000
330,60,10,0.381792,0.050000,0.050000
335,60,10,0.376094,0.050000,0.050000
340,60,10,0.370563,0.050000,0.050000
345,60,10,0.365193,0.050000,0.050000
350,60,10,0.359976,0.050000,0.050000
355,60,10,0.354906,0.050000,0.050000
360,60,10,0.349976,0.050000,0.050000
365,60,10,0.345182,0.050000,0.050000
370,60,10,0.340517,0.050000,0.050000
375,60,10,0.335977,0.050000,0.050000
380,60,10,0.331556,0.050000,0.050000
385,60,10,0.327251,0.050000,0.050000
390,60,10,0.323055,0.050000,0.050000
395,60,10,0.318966,0.050000,0.050000
400,60,10,0.314979,0.050000,0.050000
405,60,10,0.311090,0.050000,0.050000
410,60,10,0.307296,0.050000,0.050000
415,60,10,0.303594,0.050000,0.050000
420,60,10,0.299980,0.050000,0.050000
425,60,10,0.296451,0.050000,0.050000
430,60,10,0.293003,0.050000,0.050000
435,60,10,0.289636,0.050000,0.050000
440,60,10,0.286344,0.050000,0.050000
445,60,10,0.283127,0.050000,0.050000
450,60,10,0.279981,0.050000,0.050000
455,60,10,0.276904,0.050000,0.050000
460,60,10,0.273894,0.050000,0.050000
465,60,10,0.270949,0.050000,0.050000
470,60,10,0.268067,0.050000,0.050000
475,60,10,0.265245,0.050000,0.050000
480,60,10,0.262482,0.050000,0.050000
485,60,10,0.259776,0.050000,0.050000
490,60,10,0.257125,0.050000,0.050000
495,60,10,0.254528,0.050000,0.050000
500,60,10,0.251983,0.050000,0.050000
10,60,10,12.460517,0.050000,0.100000
15,60,10,8.307011,0.050000,0.100000
20,60,10,6.230259,0.050000,0.100000
25,60,10,4.984207,0.050000,0.100000
30,60,10,4.153506,0.050000,0.100000
35,60,10,3.560148,0.050000,0.100000
40,60,10,3.115129,0.050000,0.100000
45,60,10,2.769004,0.050000,0.100000
50,60,10,2.492103,0.050000,0.100000
55,60,10,2.265549,0.050000,0.100000
60,60,10,2.076753,0.050000,0.100000
65,60,10,1.917003,0.050000,0.100000
70,60,10,1.780074,0.050000,0.100000
75,60,10,1.661402,0.050000,0.100000
80,60,10,1.557565,0.050000,0.100000
85,60,10,1.465943,0.050000,0.100000
90,60,10,1.384502,0.050000,0.100000
95,60,10,1.311633,0.050000,0.100000
100,60,10,1.246052,0.050000,0.100000
105,60,10,1.186716,0.050000,0.100000
110,60,10,1.132774,0.050000,0.100000
115,60,10,1.083523,0.050000,0.100000
120,60,10,1.038376,0.050000,0.100000
125,60,10,0.996841,0.050000,0.100000
130,60,10,0.958501,0.050000,0.100000
135,60,10,0.923001,0.050000,0.100000
140,60,10,0.890037,0.050000,0.100000
145,60,10,0.859346,0.050000,0.100000
150,60,10,0.830701,0.050000,0.100000
155,60,10,0.803904,0.050000,0.100000
160,60,10,0.778782,0.050000,0.100000
165,60,10,0.755183,0.050000,0.100000
170,60,10,0.732972,0.050000,0.100000
175,60,10,0.712030,0.050000,0.100000
180,60,10,0.692251,0.050000,0.100000
185,60,10,0.673541,0.050000,0.100000
190,60,10,0.655817,0.050000,0.100000
195,60,10,0.639001,0.050000,0.100000
200,60,10,0.623026,0.050000,0.100000
205,60,10,0.607830,0.050000,0.100000
210,60,10,0.593358,0.050000,0.100000
215,60,10,0.579559,0.050000,0.100000
220,60,10,0.566387,0.050000,0.100000
225,60,10,0.553801,0.050000,0.100000
