step,weight_type,mode,weight,true_mode
1,FREQUENCY,lane_change_left,0.000000,constant_velocity
1,FREQUENCY,lane_change_right,0.000000,constant_velocity
1,FREQUENCY,turn_left,0.000000,constant_velocity
1,FREQUENCY,turn_right,0.000000,constant_velocity
2,FREQUENCY,constant_velocity,1.000000,constant_velocity
2,FREQUENCY,decelerating,0.000000,constant_velocity
2,FREQUENCY,lane_change_left,0.000000,constant_velocity
2,FREQUENCY,lane_change_right,0.000000,constant_velocity
2,FREQUENCY,turn_left,0.000000,constant_velocity
2,FREQUENCY,turn_right,0.000000,constant_velocity
3,FREQUENCY,constant_velocity,1.000000,constant_velocity
3,FREQUENCY,decelerating,0.000000,constant_velocity
3,FREQUENCY,lane_change_left,0.000000,constant_velocity
3,FREQUENCY,lane_change_right,0.000000,constant_velocity
3,FREQUENCY,turn_left,0.000000,constant_velocity
3,FREQUENCY,turn_right,0.000000,constant_velocity
4,FREQUENCY,constant_velocity,1.000000,constant_velocity
4,FREQUENCY,decelerating,0.000000,constant_velocity
4,FREQUENCY,lane_change_left,0.000000,constant_velocity
4,FREQUENCY,lane_change_right,0.000000,constant_velocity
4,FREQUENCY,turn_left,0.000000,constant_velocity
4,FREQUENCY,turn_right,0.000000,constant_velocity
5,FREQUENCY,constant_velocity,1.000000,constant_velocity
5,FREQUENCY,decelerating,0.000000,constant_velocity
5,FREQUENCY,lane_change_left,0.000000,constant_velocity
5,FREQUENCY,lane_change_right,0.000000,constant_velocity
5,FREQUENCY,turn_left,0.000000,constant_velocity
5,FREQUENCY,turn_right,0.000000,constant_velocity
6,FREQUENCY,constant_velocity,1.000000,constant_velocity
6,FREQUENCY,decelerating,0.000000,constant_velocity
6,FREQUENCY,lane_change_left,0.000000,constant_velocity
6,FREQUENCY,lane_change_right,0.000000,constant_velocity
6,FREQUENCY,turn_left,0.000000,constant_velocity
6,FREQUENCY,turn_right,0.000000,constant_velocity
7,FREQUENCY,constant_velocity,1.000000,constant_velocity
7,FREQUENCY,decelerating,0.000000,constant_velocity
7,FREQUENCY,lane_change_left,0.000000,constant_velocity
7,FREQUENCY,lane_change_right,0.000000,constant_velocity
7,FREQUENCY,turn_left,0.000000,constant_velocity
7,FREQUENCY,turn_right,0.000000,constant_velocity
8,FREQUENCY,constant_velocity,1.000000,constant_velocity
8,FREQUENCY,decelerating,0.000000,constant_velocity
8,FREQUENCY,lane_change_left,0.000000,constant_velocity
8,FREQUENCY,lane_change_right,0.000000,constant_velocity
8,FREQUENCY,turn_left,0.000000,constant_velocity
8,FREQUENCY,turn_right,0.000000,constant_velocity
9,FREQUENCY,constant_velocity,1.000000,constant_velocity
9,FREQUENCY,decelerating,0.000000,constant_velocity
9,FREQUENCY,lane_change_left,0.000000,constant_velocity
9,FREQUENCY,lane_change_right,0.000000,constant_velocity
9,FREQUENCY,turn_left,0.000000,constant_velocity
9,FREQUENCY,turn_right,0.000000,constant_velocity
10,FREQUENCY,constant_velocity,1.000000,constant_velocity
10,FREQUENCY,decelerating,0.000000,constant_velocity
10,FREQUENCY,lane_change_left,0.000000,constant_velocity
10,FREQUENCY,lane_change_right,0.000000,constant_velocity
10,FREQUENCY,turn_left,0.000000,constant_velocity
10,FREQUENCY,turn_right,0.000000,constant_velocity
11,FREQUENCY,constant_velocity,1.000000,constant_velocity
11,FREQUENCY,decelerating,0.000000,constant_velocity
11,FREQUENCY,lane_change_left,0.000000,constant_velocity
11,FREQUENCY,lane_change_right,0.000000,constant_velocity
11,FREQUENCY,turn_left,0.000000,constant_velocity
11,FREQUENCY,turn_right,0.000000,constant_velocity
12,FREQUENCY,constant_velocity,1.000000,constant_velocity
12,FREQUENCY,decelerating,0.000000,constant_velocity
12,FREQUENCY,lane_change_left,0.000000,constant_velocity
12,FREQUENCY,lane_change_right,0.000000,constant_velocity
12,FREQUENCY,turn_left,0.000000,constant_velocity
12,FREQUENCY,turn_right,0.000000,constant_velocity
13,FREQUENCY,constant_velocity,1.000000,constant_velocity
13,FREQUENCY,decelerating,0.000000,constant_velocity
13,FREQUENCY,lane_change_left,0.000000,constant_velocity
13,FREQUENCY,lane_change_right,0.000000,constant_velocity
13,FREQUENCY,turn_left,0.000000,constant_velocity
13,FREQUENCY,turn_right,0.000000,constant_velocity
14,FREQUENCY,constant_velocity,1.000000,constant_velocity
14,FREQUENCY,decelerating,0.000000,constant_velocity
14,FREQUENCY,lane_change_left,0.000000,constant_velocity
14,FREQUENCY,lane_change_right,0.000000,constant_velocity
14,FREQUENCY,turn_left,0.000000,constant_velocity
14,FREQUENCY,turn_right,0.000000,constant_velocity
15,FREQUENCY,constant_velocity,1.000000,constant_velocity
15,FREQUENCY,decelerating,0.000000,constant_velocity
15,FREQUENCY,lane_change_left,0.000000,constant_velocity
15,FREQUENCY,lane_change_right,0.000000,constant_velocity
15,FREQUENCY,turn_left,0.000000,constant_velocity
15,FREQUENCY,turn_right,0.000000,constant_velocity
16,FREQUENCY,constant_velocity,1.000000,constant_velocity
16,FREQUENCY,decelerating,0.000000,constant_velocity
16,FREQUENCY,lane_change_left,0.000000,constant_velocity
16,FREQUENCY,lane_change_right,0.000000,constant_velocity
16,FREQUENCY,turn_left,0.000000,constant_velocity
16,FREQUENCY,turn_right,0.000000,constant_velocity
17,FREQUENCY,constant_velocity,1.000000,constant_velocity
17,FREQUENCY,decelerating,0.000000,constant_velocity
17,FREQUENCY,lane_change_left,0.000000,constant_velocity
17,FREQUENCY,lane_change_right,0.000000,constant_velocity
17,FREQUENCY,turn_left,0.000000,constant_velocity
17,FREQUENCY,turn_right,0.000000,constant_velocity
18,FREQUENCY,constant_velocity,1.000000,constant_velocity
18,FREQUENCY,decelerating,0.000000,constant_velocity
18,FREQUENCY,lane_change_left,0.000000,constant_velocity
18,FREQUENCY,lane_change_right,0.000000,constant_velocity
18,FREQUENCY,turn_left,0.000000,constant_velocity
18,FREQUENCY,turn_right,0.000000,constant_velocity
19,FREQUENCY,constant_velocity,1.000000,constant_velocity
19,FREQUENCY,decelerating,0.000000,constant_velocity
19,FREQUENCY,lane_change_left,0.000000,constant_velocity
19,FREQUENCY,lane_change_right,0.000000,constant_velocity
19,FREQUENCY,turn_left,0.000000,constant_velocity
19,FREQUENCY,turn_right,0.000000,constant_velocity
20,FREQUENCY,constant_velocity,0.952381,turn_left
20,FREQUENCY,decelerating,0.000000,turn_left
20,FREQUENCY,lane_change_left,0.000000,turn_left
20,FREQUENCY,lane_change_right,0.000000,turn_left
20,FREQUENCY,turn_left,0.047619,turn_left
20,FREQUENCY,turn_right,0.000000,turn_left
21,FREQUENCY,constant_velocity,0.909091,turn_left
21,FREQUENCY,decelerating,0.000000,turn_left
21,FREQUENCY,lane_change_left,0.000000,turn_left
21,FREQUENCY,lane_change_right,0.000000,turn_left
21,FREQUENCY,turn_left,0.090909,turn_left
21,FREQUENCY,turn_right,0.000000,turn_left
22,FREQUENCY,constant_velocity,0.869565,turn_left
22,FREQUENCY,decelerating,0.000000,turn_left
22,FREQUENCY,lane_change_left,0.000000,turn_left
22,FREQUENCY,lane_change_right,0.000000,turn_left
22,FREQUENCY,turn_left,0.130435,turn_left
22,FREQUENCY,turn_right,0.000000,turn_left
23,FREQUENCY,constant_velocity,0.833333,turn_left
23,FREQUENCY,decelerating,0.000000,turn_left
23,FREQUENCY,lane_change_left,0.000000,turn_left
23,FREQUENCY,lane_change_right,0.000000,turn_left
23,FREQUENCY,turn_left,0.166667,turn_left
23,FREQUENCY,turn_right,0.000000,turn_left
24,FREQUENCY,constant_velocity,0.800000,turn_left
24,FREQUENCY,decelerating,0.000000,turn_left
24,FREQUENCY,lane_change_left,0.000000,turn_left
24,FREQUENCY,lane_change_right,0.000000,turn_left
24,FREQUENCY,turn_left,0.200000,turn_left
24,FREQUENCY,turn_right,0.000000,turn_left
25,FREQUENCY,constant_velocity,0.769231,turn_left
25,FREQUENCY,decelerating,0.000000,turn_left
25,FREQUENCY,lane_change_left,0.000000,turn_left
25,FREQUENCY,lane_change_right,0.000000,turn_left
25,FREQUENCY,turn_left,0.230769,turn_left
25,FREQUENCY,turn_right,0.000000,turn_left
26,FREQUENCY,constant_velocity,0.740741,turn_left
26,FREQUENCY,decelerating,0.000000,turn_left
26,FREQUENCY,lane_change_left,0.000000,turn_left
26,FREQUENCY,lane_change_right,0.000000,turn_left
26,FREQUENCY,turn_left,0.259259,turn_left
26,FREQUENCY,turn_right,0.000000,turn_left
27,FREQUENCY,constant_velocity,0.714286,turn_left
27,FREQUENCY,decelerating,0.000000,turn_left
27,FREQUENCY,lane_change_left,0.000000,turn_left
27,FREQUENCY,lane_change_right,0.000000,turn_left
27,FREQUENCY,turn_left,0.285714,turn_left
27,FREQUENCY,turn_right,0.000000,turn_left
28,FREQUENCY,constant_velocity,0.689655,turn_left
28,FREQUENCY,decelerating,0.000000,turn_left
