stage,scenario_id,obs_id,timestep,x,y,probability
after_dominance,5,1,10,5.5477,-1.3093,0.6944
after_dominance,9,0,0,4.0000,1.0000,0.6944
after_dominance,9,0,2,3.8872,1.0025,0.6944
after_dominance,9,0,4,3.7385,1.0187,0.6944
after_dominance,9,0,6,3.5790,1.0388,0.6944
after_dominance,9,0,8,3.4090,1.0671,0.6944
after_dominance,9,0,10,3.2305,1.0979,0.6944
after_dominance,9,1,0,6.0000,-1.5000,0.6944
after_dominance,9,1,2,5.9262,-1.4705,0.6944
after_dominance,9,1,4,5.8441,-1.4735,0.6944
after_dominance,9,1,6,5.7745,-1.5038,0.6944
after_dominance,9,1,8,5.7186,-1.5469,0.6944
after_dominance,9,1,10,5.6611,-1.5844,0.6944
after_dominance,10,0,0,4.0000,1.0000,0.6944
after_dominance,10,0,2,3.8957,1.0056,0.6944
after_dominance,10,0,4,3.7985,1.0288,0.6944
after_dominance,10,0,6,3.7075,1.0655,0.6944
after_dominance,10,0,8,3.6037,1.0930,0.6944
after_dominance,10,0,10,3.4730,1.1165,0.6944
after_dominance,10,1,0,6.0000,-1.5000,0.6944
after_dominance,10,1,2,5.9346,-1.4543,0.6944
after_dominance,10,1,4,5.8529,-1.4055,0.6944
after_dominance,10,1,6,5.7809,-1.3481,0.6944
after_dominance,10,1,8,5.7075,-1.2784,0.6944
after_dominance,10,1,10,5.6416,-1.2218,0.6944
after_dominance,11,0,0,4.0000,1.0000,0.6944
after_dominance,11,0,2,3.8996,1.0074,0.6944
after_dominance,11,0,4,3.7931,1.0099,0.6944
after_dominance,11,0,6,3.7126,0.9832,0.6944
after_dominance,11,0,8,3.6568,0.9402,0.6944
after_dominance,11,0,10,3.6100,0.8945,0.6944
after_dominance,11,1,0,6.0000,-1.5000,0.6944
after_dominance,11,1,2,5.9290,-1.4739,0.6944
after_dominance,11,1,4,5.8349,-1.4586,0.6944
after_dominance,11,1,6,5.7259,-1.4589,0.6944
after_dominance,11,1,8,5.6153,-1.4631,0.6944
after_dominance,11,1,10,5.5059,-1.4798,0.6944
after_dominance,15,0,0,4.0000,1.0000,0.6944
after_dominance,15,0,2,3.9024,1.0101,0.6944
after_dominance,15,0,4,3.7872,1.0149,0.6944
after_dominance,15,0,6,3.6777,1.0134,0.6944
after_dominance,15,0,8,3.5578,1.0195,0.6944
after_dominance,15,0,10,3.4317,1.0195,0.6944
after_dominance,15,1,0,6.0000,-1.5000,0.6944
after_dominance,15,1,2,5.9242,-1.4507,0.6944
after_dominance,15,1,4,5.8381,-1.3905,0.6944
after_dominance,15,1,6,5.7374,-1.3585,0.6944
after_dominance,15,1,8,5.6388,-1.3470,0.6944
after_dominance,15,1,10,5.5426,-1.3594,0.6944
after_dominance,19,0,0,4.0000,1.0000,0.1389
after_dominance,19,0,2,3.8933,0.9978,0.1389
after_dominance,19,0,4,3.7850,0.9981,0.1389
after_dominance,19,0,6,3.6836,1.0099,0.1389
after_dominance,19,0,8,3.6023,1.0404,0.1389
after_dominance,19,0,10,3.5213,1.0660,0.1389
after_dominance,19,1,0,6.0000,-1.5000,0.1389
after_dominance,19,1,2,5.9334,-1.4578,0.1389
after_dominance,19,1,4,5.8680,-1.4170,0.1389
after_dominance,19,1,6,5.8170,-1.3731,0.1389
after_dominance,19,1,8,5.7557,-1.2947,0.1389
after_dominance,19,1,10,5.6806,-1.2106,0.1389
after_dominance,26,0,0,4.0000,1.0000,0.6944
after_dominance,26,0,2,3.9166,0.9899,0.6944
after_dominance,26,0,4,3.8506,0.9728,0.6944
after_dominance,26,0,6,3.7882,0.9520,0.6944
after_dominance,26,0,8,3.7179,0.9269,0.6944
after_dominance,26,0,10,3.6485,0.8889,0.6944
